LocationName	Latitude	Longitude	Source	Date	IngestedAtUtc	TemperatureMaxC	TemperatureMinC	PrecipitationMm	WindSpeedMaxKmh	UvIndexMax
New York	40.7128	-74.006	OpenMeteo	2026-04-02	2026-04-02T19:47:20.9042876+00:00	12.50	5.00	1.10	19.50	2.80
New York	40.7128	-74.006	OpenMeteo	2026-04-03	2026-04-02T19:47:20.9042876+00:00	15.50	4.60	0.40	18.60	6.30
New York	40.7128	-74.006	OpenMeteo	2026-04-04	2026-04-02T19:47:20.9042876+00:00	19.80	8.30	0.30	31.00	6.35
New York	40.7128	-74.006	OpenMeteo	2026-04-05	2026-04-02T19:47:20.9042876+00:00	17.70	8.30	4.50	26.80	3.30
New York	40.7128	-74.006	OpenMeteo	2026-04-06	2026-04-02T19:47:20.9042876+00:00	12.80	5.50	0.00	26.30	6.50
New York	40.7128	-74.006	OpenMeteo	2026-04-07	2026-04-02T19:47:20.9042876+00:00	10.70	4.60	0.00	26.20	4.70
New York	40.7128	-74.006	OpenMeteo	2026-04-08	2026-04-02T19:47:20.9042876+00:00	7.90	1.10	0.00	25.20	6.15
London	51.5074	-0.1278	OpenMeteo	2026-04-02	2026-04-02T19:47:20.9042819+00:00	12.10	6.50	0.00	16.90	2.95
London	51.5074	-0.1278	OpenMeteo	2026-04-03	2026-04-02T19:47:20.9042819+00:00	15.30	8.90	0.60	20.90	1.95
London	51.5074	-0.1278	OpenMeteo	2026-04-04	2026-04-02T19:47:20.9042819+00:00	14.40	9.30	0.10	28.80	1.75
London	51.5074	-0.1278	OpenMeteo	2026-04-05	2026-04-02T19:47:20.9042819+00:00	12.00	8.10	0.30	29.20	4.85
London	51.5074	-0.1278	OpenMeteo	2026-04-06	2026-04-02T19:47:20.9042819+00:00	13.30	4.30	0.00	14.80	4.65
London	51.5074	-0.1278	OpenMeteo	2026-04-07	2026-04-02T19:47:20.9042819+00:00	15.50	7.10	0.30	17.60	5.10
London	51.5074	-0.1278	OpenMeteo	2026-04-08	2026-04-02T19:47:20.9042819+00:00	13.60	10.20	2.40	17.60	4.75
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-03	2026-04-02T19:47:20.9042523+00:00	18.20	5.40	0.00	8.80	7.05
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-04	2026-04-02T19:47:20.9042523+00:00	17.20	9.60	3.00	12.20	2.10
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-05	2026-04-02T19:47:20.9042523+00:00	22.80	16.40	1.70	11.40	6.20
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-06	2026-04-02T19:47:20.9042523+00:00	21.70	13.60	0.88	12.80	5.25
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-07	2026-04-02T19:47:20.9042523+00:00	16.90	8.70	4.00	17.10	5.85
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-08	2026-04-02T19:47:20.9042523+00:00	17.30	7.50	0.00	10.80	6.65
Tokyo	35.6762	139.6503	OpenMeteo	2026-04-09	2026-04-02T19:47:20.9042523+00:00	18.70	8.30	0.00	14.80	6.65
